"CASE";"OFFENSE";"OFFENSE DESCRIPTION";"REPORT DATE";"OCC DATE";"DAY OF WEEK";"LOCATION";"Location 1"
"SL2012192295";"2499-14";"STOLEN VEHICLE";"2012-11-04 15:28:00";"2012-11-04 15:28:00";"1";"3500 W 1987 S Salt lake City Utah  (40.72808755700049, -111.97497129399972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012164113";"2499-17";"STOLEN VEHICLE";"2012-09-18 01:18:00";"2012-09-18 01:18:00";"3";"1700 S 300 W Salt lake City Utah  (40.73341321200047, -111.89973442099966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012169751";"2499-13";"STOLEN VEHICLE";"2012-09-27 10:13:00";"2012-09-27 10:00:00";"5";"B ST / 5TH AVE Salt lake City Utah  (40.66726905100046, -111.92357267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012122879";"2499-17";"STOLEN VEHICLE";"2012-07-17 18:12:00";"2012-07-17 18:12:00";"3";"2400 S PARK ST Salt lake City Utah  (40.71683249400047, -111.87561415799968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012164510";"2499-13";"STOLEN VEHICLE";"2012-09-18 17:30:00";"2012-09-18 17:30:00";"3";"1000 N 900 W Salt lake City Utah  (40.74764006200047, -111.91688673199968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012217370";"2499-13";"STOLEN VEHICLE";"2012-12-22 06:58:00";"2012-12-22 00:30:00";"7";"00 W QUAYLE AVE Salt lake City Utah  (40.73221170000045, -111.91794373299967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012181637";"2499-13";"STOLEN VEHICLE";"2012-10-17 06:16:00";"2012-10-17 06:16:00";"4";"1800 W MORTON DR Salt lake City Utah  (40.79867962800046, -111.9427937969997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201244883";"2499-17";"STOLEN VEHICLE";"2012-03-17 22:47:00";"2012-03-17 18:00:00";"7";"1100 E WILMINGTON AVE Salt lake City Utah  (40.72324595700047, -111.85897803099971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012168224";"2499-17";"STOLEN VEHICLE";"2012-09-24 18:29:00";"2012-08-20 18:29:00";"2";"200 E SOUTH TEMPLE ST Salt lake City Utah  (40.76932250600049, -111.8852477909997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012162710";"2499-14";"STOLEN VEHICLE";"2012-09-15 20:01:00";"2012-09-15 20:01:00";"7";"1500 W 800 N Salt lake City Utah  (40.786497875000464, -111.93353761899971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201251305";"2404-44";"STOLEN VEHICLE";"2012-03-24 12:46:00";"2012-03-20 12:46:00";"3";"100 N R ST Salt lake City Utah  (40.77177417700045, -111.8580019739997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012124669";"2499-13";"STOLEN VEHICLE";"2012-07-20 12:17:00";"2012-07-20 05:00:00";"6";"100 E 2ND AVE Salt lake City Utah  (40.77150072100045, -111.88814693099971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201284107";"2499-13";"STOLEN VEHICLE";"2012-05-19 22:08:00";"2012-05-19 16:45:00";"7";"1900 S 700 E Salt lake City Utah  (40.728824860000486, -111.87124402299969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201297528";"2499-13";"STOLEN VEHICLE";"2012-06-10 00:07:00";"2012-06-10 00:07:00";"1";"ZANE AVE / WALL ST Salt lake City Utah  (40.66726905100046, -111.92357267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012130501";"2499-15";"STOLEN VEHICLE";"2012-07-28 17:45:00";"2012-07-28 17:45:00";"7";"800 N WOODEN LN Salt lake City Utah  (40.78731314100048, -111.94147172399971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012132222";"2499-14";"STOLEN VEHICLE";"2012-07-31 12:57:00";"2012-07-31 12:57:00";"3";"400 S 900 E Salt lake City Utah  (40.7604835730005, -111.8653719559997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201248026";"2499-14";"STOLEN VEHICLE";"2012-03-23 04:06:00";"2012-03-23 04:06:00";"6";"800 W CALIFORNIA AVE Salt lake City Utah  (40.741479606000496, -111.91419023299972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012101309";"2499-17";"STOLEN VEHICLE";"2012-06-16 07:38:00";"2012-06-16 07:38:00";"7";"600 E BROWNING AVE Salt lake City Utah  (40.73873598400047, -111.87376915399972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201243199";"2499-13";"STOLEN VEHICLE";"2012-03-15 14:03:00";"2012-03-15 13:00:00";"5";"3500 W 2100 S Salt lake City Utah  (40.726743942000496, -111.97496029699971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012175995";"2499-14";"STOLEN VEHICLE";"2012-10-07 10:19:00";"2012-10-07 10:19:00";"1";"1200 W PACIFIC AVE Salt lake City Utah  (40.75958231600049, -111.92556213899968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201297627";"2499-13";"STOLEN VEHICLE";"2012-06-10 05:01:00";"2012-06-10 05:01:00";"1";"1200 W 500 N Salt lake City Utah  (40.78021905200046, -111.92554847099967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012201212";"2499-17";"STOLEN VEHICLE";"2012-11-21 01:06:00";"2012-11-20 23:00:00";"3";"1900 W 400 N Salt lake City Utah  (40.778168021000454, -111.94538805199971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012205925";"2499-13";"STOLEN VEHICLE";"2012-11-30 08:11:00";"2012-11-29 23:00:00";"5";"1400 S WEST TEMPLE ST Salt lake City Utah  (40.739161252000486, -111.89395514399968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012214781";"2499-14";"STOLEN VEHICLE";"2012-12-17 08:34:00";"2012-12-17 08:34:00";"2";"00 S JEREMY ST Salt lake City Utah  (40.756390842000485, -111.91538577599971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201223306";"2499-17";"STOLEN VEHICLE";"2012-02-10 09:18:00";"2012-01-09 22:38:00";"2";"600 N 3800 W Salt lake City Utah  (40.78230238100048, -111.98006285199972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012116305";"2499-13";"STOLEN VEHICLE";"2012-07-07 19:55:00";"2012-07-07 19:55:00";"7";"600 S GUARDSMAN WAY Salt lake City Utah  (40.754930337000474, -111.84544407099969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012205878";"2499-17";"STOLEN VEHICLE";"2012-11-30 07:48:00";"2012-11-30 07:48:00";"6";"1000 W SIGNORA DR Salt lake City Utah  (40.7845950250005, -111.92002764899968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012214135";"2499-14";"STOLEN VEHICLE";"2012-12-15 19:09:00";"2012-12-15 19:09:00";"7";"1900 S 300 E Salt lake City Utah  (40.72891087300047, -111.88255679999969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201247526";"2499-13";"STOLEN VEHICLE";"2012-03-22 11:22:00";"2012-03-22 11:22:00";"5";"00 N A ST Salt lake City Utah  (40.76995732400047, -111.88353713699968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012165954";"2499-17";"STOLEN VEHICLE";"2012-09-21 05:01:00";"2012-09-21 05:01:00";"6";"400 W 300 S Salt lake City Utah  (40.762850836000496, -111.90275535399968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012143363";"2499-14";"STOLEN VEHICLE";"2012-08-17 10:35:00";"2012-08-17 10:35:00";"6";"800 W LUCY AVE Salt lake City Utah  (40.742670569000495, -111.91419833599969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012113258";"2404-44";"STOLEN VEHICLE";"2012-07-03 17:47:00";"2012-06-29 13:00:00";"6";"500 N 1300 W Salt lake City Utah  (40.78029038800048, -111.9283711389997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012139474";"2499-13";"STOLEN VEHICLE";"2012-08-11 13:37:00";"2012-08-11 08:15:00";"7";"1700 S 2100 E Salt lake City Utah  (40.73351007600047, -111.83082142299969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201238062";"2499-13";"STOLEN VEHICLE";"2012-03-06 17:42:00";"2012-03-06 17:42:00";"3";"1700 S MAIN ST Salt lake City Utah  (40.73342166700047, -111.89113274199968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012191491";"2499-14";"STOLEN VEHICLE";"2012-11-03 07:14:00";"2012-11-03 07:14:00";"7";"300 W 1830 S Salt lake City Utah  (40.730381502000455, -111.89983703699971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012170396";"2499-13";"STOLEN VEHICLE";"2012-09-28 08:36:00";"2012-09-28 08:36:00";"6";"400 S NAVAJO ST Salt lake City Utah  (40.76055426400046, -111.92952129699967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012220959";"2499-17";"STOLEN VEHICLE";"2012-12-30 08:25:00";"2012-12-29 21:30:00";"7";"1700 W TRAFALGA WAY Salt lake City Utah  (40.79692027800047, -111.94114469199968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012128988";"2404-0";"STOLEN VEHICLE";"2012-07-26 17:10:00";"2012-07-26 17:10:00";"5";"10TH AVE / K ST Salt lake City Utah  (40.66726905100046, -111.92357267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012129533";"2499-17";"STOLEN VEHICLE";"2012-07-27 09:39:00";"2012-07-27 05:00:00";"6";"700 N 900 W Salt lake City Utah  (40.78466103700049, -111.91681206799967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012188110";"2499-14";"STOLEN VEHICLE";"2012-10-28 11:16:00";"2012-10-28 11:16:00";"1";"600 N WALL ST Salt lake City Utah  (40.7825451650005, -111.89457751899971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012125341";"2499-14";"STOLEN VEHICLE";"2012-07-21 07:22:00";"2012-07-21 07:22:00";"7";"1400 E REDONDO AVE Salt lake City Utah  (40.72667409900049, -111.85074095399972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201249587";"2499-17";"STOLEN VEHICLE";"2012-03-25 14:15:00";"2012-03-25 14:15:00";"1";"300 N REDWOOD RD Salt lake City Utah  (40.776243224000496, -111.9393156759997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201271183";"2499-15";"STOLEN VEHICLE";"2012-04-29 11:49:00";"2012-04-29 02:00:00";"1";"500 W 200 S Salt lake City Utah  (40.765116719000446, -111.90556798399967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201257852";"2499-13";"STOLEN VEHICLE";"2012-04-08 09:11:00";"2012-04-08 09:11:00";"1";"3300 W 1987 S Salt lake City Utah  (40.72858743000046, -111.97046574399968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012165434";"2499-14";"STOLEN VEHICLE";"2012-09-20 09:19:00";"2012-09-14 11:27:00";"6";"100 E WILSON AVE Salt lake City Utah  (40.65056723300046, -111.89501987999967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201273644";"2404-0";"STOLEN VEHICLE";"2012-05-03 12:07:00";"2012-05-02 17:15:00";"4";"200 E 300 S Salt lake City Utah  (40.76274302100046, -111.8852473389997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012211654";"2499-13";"STOLEN VEHICLE";"2012-12-10 20:21:00";"2012-12-03 16:00:00";"2";"300 N 900 W Salt lake City Utah  (40.77593262300047, -111.91681207199969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012144451";"2499-13";"STOLEN VEHICLE";"2012-08-18 20:21:00";"2012-08-18 20:21:00";"7";"800 E 800 S Salt lake City Utah  (40.75193325200047, -111.86794109899967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201268446";"2499-17";"STOLEN VEHICLE";"2012-04-25 07:49:00";"2012-04-25 07:49:00";"4";"800 E BROWNING AVE Salt lake City Utah  (40.73892606700048, -111.86806106099971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012157018";"2499-13";"STOLEN VEHICLE";"2012-09-07 00:13:00";"2012-09-07 00:13:00";"6";"1200 W 400 N Salt lake City Utah  (40.77804845300045, -111.92552659499967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201220989";"2499-16";"STOLEN VEHICLE";"2012-02-06 11:21:00";"2012-02-06 11:21:00";"2";"1600 W NORTH TEMPLE ST Salt lake City Utah  (40.77165824600047, -111.93656826399967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201264837";"2499-17";"STOLEN VEHICLE";"2012-04-19 18:13:00";"2012-04-19 18:13:00";"5";"3500 W 1987 S Salt lake City Utah  (40.72808755700049, -111.97497129399972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012128278";"2499-14";"STOLEN VEHICLE";"2012-07-25 14:13:00";"2012-07-25 14:13:00";"4";"600 S 700 W Salt lake City Utah  (40.75647115000049, -111.87110657499971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012146463";"2499-17";"STOLEN VEHICLE";"2012-08-21 22:40:00";"2012-08-21 21:00:00";"3";"1600 W SNOW QUEEN PL Salt lake City Utah  (40.73387940800046, -111.9352435779997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201280099";"2499-14";"STOLEN VEHICLE";"2012-05-13 17:51:00";"2012-05-12 02:00:00";"7";"500 E HERBERT AVE Salt lake City Utah  (40.74646013600045, -111.8839225699997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012195075";"2404-44";"STOLEN VEHICLE";"2012-11-09 13:11:00";"2012-11-08 21:00:00";"5";"400 S 1200 E Salt lake City Utah  (40.760572141000466, -111.85688267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012117337";"2499-17";"STOLEN VEHICLE";"2012-07-09 12:47:00";"2012-07-09 11:30:00";"2";"900 S 300 W Salt lake City Utah  (40.749682660000474, -111.89971433499971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012143604";"2499-14";"STOLEN VEHICLE";"2012-08-17 17:30:00";"2012-08-17 17:30:00";"6";"1000 S CHEYENNE ST Salt lake City Utah  (40.74803911800046, -111.93455270099969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201215072";"2408-0";"STOLEN VEHICLE";"2012-01-27 09:05:00";"2012-01-27 09:05:00";"6";"700 W NORTH TEMPLE ST Salt lake City Utah  (40.77162788600049, -111.91150595399967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201274124";"2499-16";"STOLEN VEHICLE";"2012-05-04 08:22:00";"2012-05-04 08:22:00";"6";"500 N DEXTER ST Salt lake City Utah  (40.78030367700046, -111.91535160299969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012185888";"2499-13";"STOLEN VEHICLE";"2012-10-24 16:05:00";"2012-10-24 16:05:00";"4";"900 S MAIN ST Salt lake City Utah  (40.749691725000446, -111.8910753889997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201279710";"2499-13";"STOLEN VEHICLE";"2012-05-12 23:39:00";"2012-05-12 20:30:00";"7";"400 W 100 S Salt lake City Utah  (40.76718852300047, -111.90313079099968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201230723";"2499-14";"STOLEN VEHICLE";"2012-02-23 10:04:00";"2012-02-23 09:41:00";"5";"1900 S 4490 W Salt lake City Utah  (40.73008044000045, -111.99848672099967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL20121159";"2499-14";"STOLEN VEHICLE";"2012-01-03 08:53:00";"2012-01-03 08:40:00";"3";"900 W 500 S Salt lake City Utah  (40.758488129000455, -111.91694871299967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201296134";"2404-0";"STOLEN VEHICLE";"2012-06-07 22:46:00";"2012-06-07 13:00:00";"5";"2200 S 1300 E Salt lake City Utah  (40.72281101700048, -111.85368533999969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012169254";"2499-14";"STOLEN VEHICLE";"2012-09-26 14:00:00";"2012-09-26 14:00:00";"4";"1200 S NAVAJO ST Salt lake City Utah  (40.743120183000485, -111.93044192599967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012198990";"2499-13";"STOLEN VEHICLE";"2012-11-16 16:48:00";"2012-11-16 16:48:00";"6";"400 N WALNUT CIR Salt lake City Utah  (40.77778127500045, -111.9327798489997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201247548";"2499-13";"STOLEN VEHICLE";"2012-03-22 11:58:00";"2012-03-22 11:58:00";"5";"500 N TERMINAL NORTHBOUND DR Salt lake City Utah  (40.66726905100046, -111.92357267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012139289";"2499-13";"STOLEN VEHICLE";"2012-08-11 06:15:00";"2012-08-11 06:15:00";"7";"1900 S 500 E Salt lake City Utah  (40.72880266800047, -111.87680168799972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012120055";"2499-17";"STOLEN VEHICLE";"2012-07-13 14:57:00";"2012-07-13 07:15:00";"6";"1100 S 300 W Salt lake City Utah  (40.744809699000484, -111.89970910799968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201280334";"2499-17";"STOLEN VEHICLE";"2012-05-14 06:37:00";"2012-05-14 06:37:00";"2";"1000 N VICTORIA WAY Salt lake City Utah  (40.790681245000485, -111.8994262059997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012213218";"2499-17";"STOLEN VEHICLE";"2012-12-13 23:57:00";"2012-12-13 23:57:00";"5";"200 S PUEBLO ST Salt lake City Utah  (40.765226080000446, -111.93251219399968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012122433";"2499-13";"STOLEN VEHICLE";"2012-07-17 02:18:00";"2012-07-16 21:00:00";"2";"4600 W 700 S Salt lake City Utah  (40.754794957000456, -112.0012004139997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201231445";"2499-17";"STOLEN VEHICLE";"2012-02-24 11:19:00";"2012-02-24 11:19:00";"6";"3200 W 2100 S Salt lake City Utah  (40.7281391030005, -111.96821076699968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012210374";"2499-17";"STOLEN VEHICLE";"2012-12-08 11:16:00";"2012-12-07 08:00:00";"6";"500 N RIVERSIDE DR Salt lake City Utah  (40.78192956100048, -111.93711070599971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012177941";"2499-14";"STOLEN VEHICLE";"2012-10-10 19:16:00";"2012-10-10 19:16:00";"4";"1800 S 900 W Salt lake City Utah  (40.73089049300046, -111.91689710199967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012124713";"2499-13";"STOLEN VEHICLE";"2012-07-20 12:42:00";"2012-07-20 05:00:00";"6";"800 N OAK TREE CT Salt lake City Utah  (40.78737077000045, -111.91639826299968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012121353";"2499-13";"STOLEN VEHICLE";"2012-07-15 10:06:00";"2012-07-15 10:06:00";"1";"600 E 1ST AVE Salt lake City Utah  (40.77054521700046, -111.87147964499968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012199162";"2499-13";"STOLEN VEHICLE";"2012-11-16 22:13:00";"2012-11-16 22:13:00";"6";"900 S 1200 W Salt lake City Utah  (40.75018307200048, -111.92610327999967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012126259";"2499-13";"STOLEN VEHICLE";"2012-07-22 16:37:00";"2012-07-22 16:37:00";"1";"300 N 1000 W Salt lake City Utah  (40.775963539000486, -111.91967245999967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012121495";"2499-13";"STOLEN VEHICLE";"2012-07-15 15:48:00";"2012-07-14 20:00:00";"7";"1400 S 1600 E Salt lake City Utah  (40.73950016300046, -111.84509539299967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012209732";"2499-13";"STOLEN VEHICLE";"2012-12-07 11:41:00";"2012-12-06 21:30:00";"5";"200 E 3RD AVE Salt lake City Utah  (40.77280509500048, -111.88341810799972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201216318";"2499-14";"STOLEN VEHICLE";"2012-01-29 10:03:00";"2012-01-29 07:56:00";"1";"200 N GEMINI DR Salt lake City Utah  (40.77549444900046, -111.94094358999968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012139451";"2499-17";"STOLEN VEHICLE";"2012-08-11 13:02:00";"2012-08-11 13:02:00";"7";"1400 S 500 E Salt lake City Utah  (40.73907240300048, -111.87679384599971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201279917";"2499-13";"STOLEN VEHICLE";"2012-05-13 11:37:00";"2012-05-13 11:37:00";"1";"600 N 800 W Salt lake City Utah  (40.78249111100047, -111.91394245299966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201217421";"2499-14";"STOLEN VEHICLE";"2012-01-31 11:25:00";"2012-01-31 11:11:00";"3";"800 S RICHARDS ST Salt lake City Utah  (40.75186115600047, -111.89254343999971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012172126";"2499-13";"STOLEN VEHICLE";"2012-09-30 22:36:00";"2012-09-30 22:36:00";"1";"600 S BRAMPTON WAY Salt lake City Utah  (40.756360981000455, -111.93645982699968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201293783";"2499-17";"STOLEN VEHICLE";"2012-06-04 11:46:00";"2012-04-02 12:00:00";"2";"700 N TERMINAL NORTHBOUND DR Salt lake City Utah  (40.66726905100046, -111.92357267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012136561";"2499-17";"STOLEN VEHICLE";"2012-08-07 09:18:00";"2012-08-07 05:00:00";"3";"1300 S EARL DR Salt lake City Utah  (40.741722849000496, -111.95114695899969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012194924";"2499-17";"STOLEN VEHICLE";"2012-11-09 07:32:00";"2012-11-09 06:30:00";"6";"1300 E KENSINGTON AVE Salt lake City Utah  (40.73633581900049, -111.85369069399968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201270046";"2499-17";"STOLEN VEHICLE";"2012-04-27 16:12:00";"2012-04-27 16:12:00";"6";"2000 S 900 W Salt lake City Utah  (40.72714925300045, -111.91690177099969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012141942";"2499-13";"STOLEN VEHICLE";"2012-08-15 09:22:00";"2012-08-14 22:00:00";"3";"1500 W SECRET GARDEN PL Salt lake City Utah  (40.734720808000475, -111.93600015999971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012154027";"2499-13";"STOLEN VEHICLE";"2012-09-02 06:58:00";"2012-09-02 06:58:00";"1";"1400 W GLENROSE DR Salt lake City Utah  (40.74512750500048, -111.93125154499967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012110305";"2499-13";"STOLEN VEHICLE";"2012-06-29 12:32:00";"2012-06-29 12:32:00";"6";"200 S 600 E Salt lake City Utah  (40.76492061900046, -111.8740417789997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201275252";"2499-14";"STOLEN VEHICLE";"2012-05-05 21:20:00";"2012-05-05 21:20:00";"7";"1400 S 200 E Salt lake City Utah  (40.73928845100045, -111.88541496799968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201268161";"2499-16";"STOLEN VEHICLE";"2012-04-24 17:22:00";"2012-04-24 17:22:00";"3";"1200 N REDWOOD RD Salt lake City Utah  (40.79498040800047, -111.93919375499968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012132835";"2499-14";"STOLEN VEHICLE";"2012-08-01 11:22:00";"2012-08-01 11:22:00";"4";"1500 N MORTON DR Salt lake City Utah  (40.801861432000464, -111.94717519299968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012170655";"2499-13";"STOLEN VEHICLE";"2012-09-28 16:40:00";"2012-09-27 19:00:00";"5";"100 E 1ST AVE Salt lake City Utah  (40.77053703700045, -111.88813908199967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012198983";"2499-17";"STOLEN VEHICLE";"2012-11-16 16:37:00";"2012-11-16 16:37:00";"6";"1400 W INDIANA AVE Salt lake City Utah  (40.751298557000496, -111.93116004699971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012166";"2499-14";"STOLEN VEHICLE";"2012-01-01 04:11:00";"2012-01-01 04:11:00";"1";"1300 W 1200 S Salt lake City Utah  (40.740990243000454, -111.9258872049997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012145538";"2499-17";"STOLEN VEHICLE";"2012-08-20 15:39:00";"2012-08-20 15:39:00";"2";"1700 E 1700 S Salt lake City Utah  (40.733601312000474, -111.84214581099968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201272299";"2499-14";"STOLEN VEHICLE";"2012-05-01 11:00:00";"2012-05-01 11:00:00";"3";"1000 W PIERPONT AVE Salt lake City Utah  (40.763912769000456, -111.92106073499968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012164882";"2499-17";"STOLEN VEHICLE";"2012-09-19 14:03:00";"2012-09-19 14:03:00";"4";"1000 S 200 W Salt lake City Utah  (40.747140027000455, -111.89691222999971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012126599";"2499-13";"STOLEN VEHICLE";"2012-07-23 09:41:00";"2012-07-23 09:41:00";"2";"100 N K ST Salt lake City Utah  (40.77179172300049, -111.8685497519997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201272017";"2499-15";"STOLEN VEHICLE";"2012-04-30 20:28:00";"2012-04-30 20:28:00";"2";"00 S MAIN ST Salt lake City Utah  (40.677136274000475, -111.89125586999967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012101884";"2499-13";"STOLEN VEHICLE";"2012-06-16 23:22:00";"2012-06-16 23:22:00";"7";"1100 S LEGACY VIEW ST Salt lake City Utah  (40.74646904800045, -112.02707984399967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012115402";"2499-17";"STOLEN VEHICLE";"2012-07-06 13:46:00";"2012-07-06 13:46:00";"6";"1500 E STRATFORD AVE Salt lake City Utah  (40.71544308400047, -111.84773871999971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012219203";"2499-16";"STOLEN VEHICLE";"2012-12-26 14:36:00";"2012-12-26 14:36:00";"4";"1500 S MAIN ST Salt lake City Utah  (40.7366717430005, -111.8911044779997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
